"Quarter","Sales","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","t","log_Sales","t_sq"
"Q1_86",1734.827,1,0,0,0,0,0,0,0,0,0,0,0,1,7.45866297559384,1
"Q2_86",2244.960999,0,1,0,0,0,0,0,0,0,0,0,0,2,7.71644342764238,4
"Q3_86",2533.804993,0,0,1,0,0,0,0,0,0,0,0,0,3,7.83747740172407,9
"Q4_86",2154.962997,0,0,0,1,0,0,0,0,0,0,0,0,4,7.67552883162477,16
"Q1_87",1547.818996,0,0,0,0,1,0,0,0,0,0,0,0,5,7.34460211966452,25
"Q2_87",2104.411995,0,0,0,0,0,1,0,0,0,0,0,0,6,7.65179136980239,36
"Q3_87",2014.362999,0,0,0,0,0,0,1,0,0,0,0,0,7,7.60805829487277,49
"Q4_87",1991.746998,0,0,0,0,0,0,0,1,0,0,0,0,8,7.59676742104207,64
"Q1_88",1869.049999,0,0,0,0,0,0,0,0,1,0,0,0,9,7.53318555883664,81
"Q2_88",2313.631996,0,0,0,0,0,0,0,0,0,1,0,0,10,7.74657386139856,100
"Q3_88",2128.32,0,0,0,0,0,0,0,0,0,0,1,0,11,7.66308821509606,121
"Q4_88",2026.828999,0,0,0,0,0,0,0,0,0,0,0,1,12,7.6142277812752,144
"Q1_89",1910.603996,1,0,0,0,0,0,0,0,0,0,0,0,13,7.55517469932331,169
"Q2_89",2331.164993,0,1,0,0,0,0,0,0,0,0,0,0,14,7.75412341859861,196
"Q3_89",2206.549995,0,0,1,0,0,0,0,0,0,0,0,0,15,7.69918548650866,225
"Q4_89",2173.967995,0,0,0,1,0,0,0,0,0,0,0,0,16,7.68430934586166,256
"Q1_90",2148.278,0,0,0,0,1,0,0,0,0,0,0,0,17,7.67242186997317,289
"Q2_90",2739.307999,0,0,0,0,0,1,0,0,0,0,0,0,18,7.91546061237521,324
"Q3_90",2792.753998,0,0,0,0,0,0,1,0,0,0,0,0,19,7.9347834840138,361
"Q4_90",2556.009995,0,0,0,0,0,0,0,1,0,0,0,0,20,7.84620272589667,400
"Q1_91",2480.973999,0,0,0,0,0,0,0,0,1,0,0,0,21,7.81640650358852,441
"Q2_91",3039.522995,0,0,0,0,0,0,0,0,0,1,0,0,22,8.0194558725492,484
"Q3_91",3172.115997,0,0,0,0,0,0,0,0,0,0,1,0,23,8.06215415112772,529
"Q4_91",2879.000999,0,0,0,0,0,0,0,0,0,0,0,1,24,7.9651986376076,576
"Q1_92",2772,1,0,0,0,0,0,0,0,0,0,0,0,25,7.92732436030979,625
"Q2_92",3550,0,1,0,0,0,0,0,0,0,0,0,0,26,8.17470288246946,676
"Q3_92",3508,0,0,1,0,0,0,0,0,0,0,0,0,27,8.16280135349207,729
"Q4_92",3243.859993,0,0,0,1,0,0,0,0,0,0,0,0,28,8.08451925554931,784
"Q1_93",3056,0,0,0,0,1,0,0,0,0,0,0,0,29,8.02486215028641,841
"Q2_93",3899,0,0,0,0,0,1,0,0,0,0,0,0,30,8.2684753889826,900
"Q3_93",3629,0,0,0,0,0,0,1,0,0,0,0,0,31,8.19671240721307,961
"Q4_93",3373,0,0,0,0,0,0,0,1,0,0,0,0,32,8.12355783506165,1024
"Q1_94",3352,0,0,0,0,0,0,0,0,1,0,0,0,33,8.11731246160197,1089
"Q2_94",4342,0,0,0,0,0,0,0,0,0,1,0,0,34,8.37609035043824,1156
"Q3_94",4461,0,0,0,0,0,0,0,0,0,0,1,0,35,8.40312823512826,1225
"Q4_94",4017,0,0,0,0,0,0,0,0,0,0,0,1,36,8.29829063435928,1296
"Q1_95",3854,1,0,0,0,0,0,0,0,0,0,0,0,37,8.25686684897431,1369
"Q2_95",4936,0,1,0,0,0,0,0,0,0,0,0,0,38,8.50431056558522,1444
"Q3_95",4895,0,0,1,0,0,0,0,0,0,0,0,0,39,8.49596955496461,1521
"Q4_95",4333,0,0,0,1,0,0,0,0,0,0,0,0,40,8.37401542173991,1600
"Q1_96",4194,0,0,0,0,1,0,0,0,0,0,0,0,41,8.34141021146186,1681
"Q2_96",5253,0,0,0,0,0,1,0,0,0,0,0,0,42,8.56655462095396,1764
