"Month","sales","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","t","log_sales","t_sq"
"Jan-49",742,1,0,0,0,0,0,0,0,0,0,0,0,1,6.60934924316738,1
"Feb-49",697,0,1,0,0,0,0,0,0,0,0,0,0,2,6.54678541076052,4
"Mar-49",776,0,0,1,0,0,0,0,0,0,0,0,0,3,6.65415252018322,9
"Apr-49",898,0,0,0,1,0,0,0,0,0,0,0,0,4,6.8001700683022,16
"May-49",1030,0,0,0,0,1,0,0,0,0,0,0,0,5,6.93731408122368,25
"Jun-49",1107,0,0,0,0,0,1,0,0,0,0,0,0,6,7.00940893270864,36
"Jul-49",1165,0,0,0,0,0,0,1,0,0,0,0,0,7,7.0604763659998,49
"Aug-49",1216,0,0,0,0,0,0,0,1,0,0,0,0,8,7.10332206252611,64
"Sep-49",1208,0,0,0,0,0,0,0,0,1,0,0,0,9,7.09672137849476,81
"Oct-49",1131,0,0,0,0,0,0,0,0,0,1,0,0,10,7.03085747611612,100
"Nov-49",971,0,0,0,0,0,0,0,0,0,0,1,0,11,6.87832646829133,121
"Dec-49",783,0,0,0,0,0,0,0,0,0,0,0,1,12,6.6631326959908,144
"Jan-50",741,1,0,0,0,0,0,0,0,0,0,0,0,13,6.60800062529609,169
"Feb-50",700,0,1,0,0,0,0,0,0,0,0,0,0,14,6.5510803350434,196
"Mar-50",774,0,0,1,0,0,0,0,0,0,0,0,0,15,6.65157187358973,225
"Apr-50",932,0,0,0,1,0,0,0,0,0,0,0,0,16,6.83733281468559,256
"May-50",1099,0,0,0,0,1,0,0,0,0,0,0,0,17,7.00215595440362,289
"Jun-50",1223,0,0,0,0,0,1,0,0,0,0,0,0,18,7.10906213568717,324
"Jul-50",1290,0,0,0,0,0,0,1,0,0,0,0,0,19,7.16239749735572,361
"Aug-50",1349,0,0,0,0,0,0,0,1,0,0,0,0,20,7.20711885620776,400
"Sep-50",1341,0,0,0,0,0,0,0,0,1,0,0,0,21,7.20117088328168,441
"Oct-50",1296,0,0,0,0,0,0,0,0,0,1,0,0,22,7.16703787691222,484
"Nov-50",1066,0,0,0,0,0,0,0,0,0,0,1,0,23,6.97166860472579,529
"Dec-50",901,0,0,0,0,0,0,0,0,0,0,0,1,24,6.80350525760834,576
"Jan-51",896,1,0,0,0,0,0,0,0,0,0,0,0,25,6.79794041297493,625
"Feb-51",793,0,1,0,0,0,0,0,0,0,0,0,0,26,6.67582322163485,676
"Mar-51",885,0,0,1,0,0,0,0,0,0,0,0,0,27,6.78558764500793,729
"Apr-51",1055,0,0,0,1,0,0,0,0,0,0,0,0,28,6.96129604591017,784
"May-51",1204,0,0,0,0,1,0,0,0,0,0,0,0,29,7.09340462586877,841
"Jun-51",1326,0,0,0,0,0,1,0,0,0,0,0,0,30,7.18992217074581,900
"Jul-51",1303,0,0,0,0,0,0,1,0,0,0,0,0,31,7.17242457712485,961
"Aug-51",1436,0,0,0,0,0,0,0,1,0,0,0,0,32,7.26961674960817,1024
"Sep-51",1473,0,0,0,0,0,0,0,0,1,0,0,0,33,7.29505641646263,1089
"Oct-51",1453,0,0,0,0,0,0,0,0,0,1,0,0,34,7.28138566357028,1156
"Nov-51",1170,0,0,0,0,0,0,0,0,0,0,1,0,35,7.0647590277918,1225
"Dec-51",1023,0,0,0,0,0,0,0,0,0,0,0,1,36,6.93049476595163,1296
"Jan-52",951,1,0,0,0,0,0,0,0,0,0,0,0,37,6.85751406254539,1369
"Feb-52",861,0,1,0,0,0,0,0,0,0,0,0,0,38,6.75809450442773,1444
"Mar-52",938,0,0,1,0,0,0,0,0,0,0,0,0,39,6.84374994900622,1521
"Apr-52",1109,0,0,0,1,0,0,0,0,0,0,0,0,40,7.01121398735037,1600
"May-52",1274,0,0,0,0,1,0,0,0,0,0,0,0,41,7.14991683613211,1681
"Jun-52",1422,0,0,0,0,0,1,0,0,0,0,0,0,42,7.25981961036319,1764
"Jul-52",1486,0,0,0,0,0,0,1,0,0,0,0,0,43,7.3038432252777,1849
"Aug-52",1555,0,0,0,0,0,0,0,1,0,0,0,0,44,7.34923082461333,1936
"Sep-52",1604,0,0,0,0,0,0,0,0,1,0,0,0,45,7.38025578842646,2025
"Oct-52",1600,0,0,0,0,0,0,0,0,0,1,0,0,46,7.37775890822787,2116
"Nov-52",1403,0,0,0,0,0,0,0,0,0,0,1,0,47,7.24636808010246,2209
"Dec-52",1209,0,0,0,0,0,0,0,0,0,0,0,1,48,7.09754885061479,2304
"Jan-53",1030,1,0,0,0,0,0,0,0,0,0,0,0,49,6.93731408122368,2401
"Feb-53",1032,0,1,0,0,0,0,0,0,0,0,0,0,50,6.93925394604151,2500
"Mar-53",1126,0,0,1,0,0,0,0,0,0,0,0,0,51,7.02642680869964,2601
"Apr-53",1285,0,0,0,1,0,0,0,0,0,0,0,0,52,7.15851399732932,2704
"May-53",1468,0,0,0,0,1,0,0,0,0,0,0,0,53,7.29165620917446,2809
"Jun-53",1637,0,0,0,0,0,1,0,0,0,0,0,0,54,7.40062057737113,2916
"Jul-53",1611,0,0,0,0,0,0,1,0,0,0,0,0,55,7.38461038317697,3025
"Aug-53",1608,0,0,0,0,0,0,0,1,0,0,0,0,56,7.38274644973891,3136
"Sep-53",1528,0,0,0,0,0,0,0,0,1,0,0,0,57,7.33171496972647,3249
"Oct-53",1420,0,0,0,0,0,0,0,0,0,1,0,0,58,7.25841215059531,3364
"Nov-53",1119,0,0,0,0,0,0,0,0,0,0,1,0,59,7.02019070831193,3481
"Dec-53",1013,0,0,0,0,0,0,0,0,0,0,0,1,60,6.92067150424868,3600
